day_key,actual_date,day_of_month,month,quarter,year
1,1999-01-01,1,1,1,1999
2,1999-01-02,2,1,1,1999
3,1999-01-03,3,1,1,1999
4,1999-01-04,4,1,1,1999
5,1999-01-05,5,1,1,1999
6,1999-01-06,6,1,1,1999
7,1999-01-07,7,1,1,1999
8,1999-01-08,8,1,1,1999
9,1999-01-09,9,1,1,1999
10,1999-01-10,10,1,1,1999
11,1999-01-11,11,1,1,1999
12,1999-01-12,12,1,1,1999
13,1999-01-13,13,1,1,1999
14,1999-01-14,14,1,1,1999
15,1999-01-15,15,1,1,1999
16,1999-01-16,16,1,1,1999
17,1999-01-17,17,1,1,1999
18,1999-01-18,18,1,1,1999
19,1999-01-19,19,1,1,1999
20,1999-01-20,20,1,1,1999
21,1999-01-21,21,1,1,1999
22,1999-01-22,22,1,1,1999
23,1999-01-23,23,1,1,1999
24,1999-01-24,24,1,1,1999
25,1999-01-25,25,1,1,1999
26,1999-01-26,26,1,1,1999
27,1999-01-27,27,1,1,1999
28,1999-01-28,28,1,1,1999
29,1999-01-29,29,1,1,1999
30,1999-01-30,30,1,1,1999
31,1999-01-31,31,1,1,1999
32,1999-02-01,1,2,1,1999
33,1999-02-02,2,2,1,1999
34,1999-02-03,3,2,1,1999
35,1999-02-04,4,2,1,1999
36,1999-02-05,5,2,1,1999
37,1999-02-06,6,2,1,1999
38,1999-02-07,7,2,1,1999
39,1999-02-08,8,2,1,1999
40,1999-02-09,9,2,1,1999
41,1999-02-10,10,2,1,1999
42,1999-02-11,11,2,1,1999
43,1999-02-12,12,2,1,1999
44,1999-02-13,13,2,1,1999
45,1999-02-14,14,2,1,1999
46,1999-02-15,15,2,1,1999
47,1999-02-16,16,2,1,1999
48,1999-02-17,17,2,1,1999
49,1999-02-18,18,2,1,1999
50,1999-02-19,19,2,1,1999
51,1999-02-20,20,2,1,1999
52,1999-02-21,21,2,1,1999
53,1999-02-22,22,2,1,1999
54,1999-02-23,23,2,1,1999
55,1999-02-24,24,2,1,1999
56,1999-02-25,25,2,1,1999
57,1999-02-26,26,2,1,1999
58,1999-02-27,27,2,1,1999
59,1999-02-28,28,2,1,1999
60,1999-03-01,1,3,1,1999
61,1999-03-02,2,3,1,1999
62,1999-03-03,3,3,1,1999
63,1999-03-04,4,3,1,1999
64,1999-03-05,5,3,1,1999
65,1999-03-06,6,3,1,1999
66,1999-03-07,7,3,1,1999
67,1999-03-08,8,3,1,1999
68,1999-03-09,9,3,1,1999
69,1999-03-10,10,3,1,1999
70,1999-03-11,11,3,1,1999
